module,path,layer,component,incoming,outgoing,dependency_score,ownership_score,duplicate_group,duplicate_count,recommendation,status
delbot_platform.document_intelligence.backend.__init__,delbot_platform/document_intelligence/backend/__init__.py,document_intelligence,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.backend.backend,delbot_platform/document_intelligence/backend/backend.py,document_intelligence,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.backend.pdf.__init__,delbot_platform/document_intelligence/backend/pdf/__init__.py,document_intelligence,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.backend.pdfmupdf_backend,delbot_platform/document_intelligence/backend/pdf/pymupdf_backend.py,document_intelligence,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.builder.__init__,delbot_platform/document_intelligence/builder/__init__.py,document_intelligence,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.builder.default_document_builder,delbot_platform/document_intelligence/builder/default_document_builder.py,document_intelligence,builder,2,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.builder.paragraph_builder,delbot_platform/document_intelligence/builder/paragraph_builder.py,document_intelligence,builder,0,0,8,1,paragraph,2,KEEP,CANONICAL
delbot_platform.document_intelligence.builder.semantic_chunk_builder,delbot_platform/document_intelligence/builder/semantic_chunk_builder.py,document_intelligence,builder,0,0,6,1,semantic_chunk,2,KEEP,CANONICAL
delbot_platform.document_intelligence.debug.__init__,delbot_platform/document_intelligence/debug/__init__.py,document_intelligence,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.debug.layout_debugger,delbot_platform/document_intelligence/debug/layout_debugger.py,document_intelligence,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.factory.__init__,delbot_platform/document_intelligence/factory/__init__.py,document_intelligence,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.factory.document_processor_factory,delbot_platform/document_intelligence/factory/document_processor_factory.py,document_intelligence,factory,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.loader.__init__,delbot_platform/document_intelligence/loader/__init__.py,document_intelligence,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.loader.loaded_document,delbot_platform/document_intelligence/loader/loaded_document.py,document_intelligence,module,5,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.mapper.__init__,delbot_platform/document_intelligence/mapper/__init__.py,document_intelligence,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.mapper.layout_mapper,delbot_platform/document_intelligence/mapper/layout_mapper.py,document_intelligence,mapper,3,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.models.__init__,delbot_platform/document_intelligence/models/__init__.py,document_intelligence,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.models.bounding_box,delbot_platform/document_intelligence/models/bounding_box.py,document_intelligence,module,3,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.models.heading_collection,delbot_platform/document_intelligence/models/heading_collection.py,document_intelligence,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.models.heading_level,delbot_platform/document_intelligence/models/heading_level.py,document_intelligence,module,2,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.models.layout_statistics,delbot_platform/document_intelligence/models/layout_statistics.py,document_intelligence,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.models.line,delbot_platform/document_intelligence/models/line.py,document_intelligence,module,3,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.models.paragraph,delbot_platform/document_intelligence/models/paragraph.py,document_intelligence,module,4,0,8,1,paragraph,2,KEEP,CANONICAL
delbot_platform.document_intelligence.models.paragraph_collection,delbot_platform/document_intelligence/models/paragraph_collection.py,document_intelligence,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.models.parsed_document,delbot_platform/document_intelligence/models/parsed_document.py,document_intelligence,module,15,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.models.semantic_chunk,delbot_platform/document_intelligence/models/semantic_chunk.py,document_intelligence,module,3,0,6,1,semantic_chunk,2,KEEP,CANONICAL
delbot_platform.document_intelligence.models.semantic_chunk_collection,delbot_platform/document_intelligence/models/semantic_chunk_collection.py,document_intelligence,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.models.span,delbot_platform/document_intelligence/models/span.py,document_intelligence,module,3,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.parser.__init__,delbot_platform/document_intelligence/parser/__init__.py,document_intelligence,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.parser.pdf_document_parser,delbot_platform/document_intelligence/parser/pdf_document_parser.py,document_intelligence,parser,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.pipeline.__init__,delbot_platform/document_intelligence/pipeline/__init__.py,document_intelligence,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.pipeline.analyzer_stage,delbot_platform/document_intelligence/pipeline/analyzer_stage.py,document_intelligence,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.pipeline.builder_stage,delbot_platform/document_intelligence/pipeline/builder_stage.py,document_intelligence,builder,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.pipeline.parser_stage,delbot_platform/document_intelligence/pipeline/parser_stage.py,document_intelligence,parser,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.pipeline.pipeline_stage,delbot_platform/document_intelligence/pipeline/pipeline_stage.py,document_intelligence,pipeline,5,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.processor.__init__,delbot_platform/document_intelligence/processor/__init__.py,document_intelligence,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.__init__,delbot_platform/documents/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.chunking.__init__,delbot_platform/documents/chunking/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.chunking.chunk_builder,delbot_platform/documents/chunking/chunk_builder.py,documents,builder,1,0,6,1,chunk,3,KEEP,CANONICAL
delbot_platform.documents.chunking.policy.__init__,delbot_platform/documents/chunking/policy/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.chunking.policy.policy,delbot_platform/documents/chunking/policy/policy.py,documents,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.classification.__init__,delbot_platform/documents/classification/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.classification.academic_heading,delbot_platform/documents/classification/academic_heading.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.classification.document_type,delbot_platform/documents/classification/document_type.py,documents,module,4,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.classification.heading_score,delbot_platform/documents/classification/heading_score.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.classification.page_classifier,delbot_platform/documents/classification/page_classifier.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.classification.page_region,delbot_platform/documents/classification/page_region.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.classification.page_type,delbot_platform/documents/classification/page_type.py,documents,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.embedding.__init__,delbot_platform/documents/embedding/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.embedding.base,delbot_platform/documents/embedding/base.py,documents,module,3,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.embedding.factory.__init__,delbot_platform/documents/embedding/factory/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.embedding.factory.provider,delbot_platform/documents/embedding/factory/provider.py,documents,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.embedding.mapper.__init__,delbot_platform/documents/embedding/mapper/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.embedding.mapper.vector_mapper,delbot_platform/documents/embedding/mapper/vector_mapper.py,documents,mapper,0,0,0,1,vector,2,KEEP,CANONICAL
delbot_platform.documents.embedding.models.__init__,delbot_platform/documents/embedding/models/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.embedding.models.embedding_vector,delbot_platform/documents/embedding/models/embedding_vector.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.embedding.pipeline.__init__,delbot_platform/documents/embedding/pipeline/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.embedding.pipeline.pipeline,delbot_platform/documents/embedding/pipeline/pipeline.py,documents,pipeline,2,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.embedding.providers.__init__,delbot_platform/documents/embedding/providers/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.embedding.vector,delbot_platform/documents/embedding/vector.py,documents,module,0,0,0,1,vector,2,KEEP,CANONICAL
delbot_platform.documents.extraction.__init__,delbot_platform/documents/extraction/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.extraction.service,delbot_platform/documents/extraction/service.py,documents,service,3,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.ingestion.__init__,delbot_platform/documents/ingestion/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.ingestion.repository_ingestor,delbot_platform/documents/ingestion/repository_ingestor.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.loader.__init__,delbot_platform/documents/loader/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.loader.sources.__init__,delbot_platform/documents/loader/sources/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.metadata.__init__,delbot_platform/documents/metadata/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.metadata.builder.__init__,delbot_platform/documents/metadata/builder/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.metadata.builder.chunk,delbot_platform/documents/metadata/builder/chunk.py,documents,module,2,0,6,1,chunk,3,KEEP,CANONICAL
delbot_platform.documents.metadata.chunk_metadata,delbot_platform/documents/metadata/chunk_metadata.py,documents,module,8,0,22,1,chunk_metadata,2,KEEP,CANONICAL
delbot_platform.documents.metadata.document_metadata,delbot_platform/documents/metadata/document_metadata.py,documents,module,5,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.metadata.mapper.chunk_metadata_mapper,delbot_platform/documents/metadata/mapper/chunk_metadata_mapper.py,documents,mapper,3,0,22,1,chunk_metadata,2,KEEP,CANONICAL
delbot_platform.documents.metadata.metadata_extractor,delbot_platform/documents/metadata/metadata_extractor.py,documents,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.models.__init__,delbot_platform/documents/models/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.models.chunk,delbot_platform/documents/models/chunk.py,documents,module,0,0,6,1,chunk,3,KEEP,CANONICAL
delbot_platform.documents.models.metadata,delbot_platform/documents/models/metadata.py,documents,module,2,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.parser.__init__,delbot_platform/documents/parser/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.parser.backend.__init__,delbot_platform/documents/parser/backend/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.parser.backend.base,delbot_platform/documents/parser/backend/base.py,documents,module,2,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.parser.base,delbot_platform/documents/parser/base.py,documents,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.pipeline.__init__,delbot_platform/documents/pipeline/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.pipeline.indexing,delbot_platform/documents/pipeline/indexing.py,documents,module,4,0,10,1,indexing,2,KEEP,CANONICAL
delbot_platform.documents.pipeline.models.__init__,delbot_platform/documents/pipeline/models/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.pipeline.models.index_result,delbot_platform/documents/pipeline/models/index_result.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.pipeline.preprocessing,delbot_platform/documents/pipeline/preprocessing.py,documents,module,2,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.registry.__init__,delbot_platform/documents/registry/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.registry.factory,delbot_platform/documents/registry/factory.py,documents,factory,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.registry.filesystem,delbot_platform/documents/registry/filesystem.py,documents,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.services.__init__,delbot_platform/documents/services/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.services.indexing,delbot_platform/documents/services/indexing.py,documents,module,1,0,10,1,indexing,2,KEEP,CANONICAL
delbot_platform.documents.structure.__init__,delbot_platform/documents/structure/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.structure.section.__init__,delbot_platform/documents/structure/section/__init__.py,documents,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.structure.section.builder,delbot_platform/documents/structure/section/builder.py,documents,builder,2,0,0,1,,1,KEEP,CANONICAL
delbot_platform.documents.structure.section.section,delbot_platform/documents/structure/section/section.py,documents,module,5,0,0,1,,1,KEEP,CANONICAL
delbot_platform.gateway.__init__,delbot_platform/gateway/__init__.py,gateway,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.gateway.__main__,delbot_platform/gateway/__main__.py,gateway,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.gateway.exceptions,delbot_platform/gateway/exceptions.py,gateway,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.gateway.mapper.__init__,delbot_platform/gateway/mapper/__init__.py,gateway,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.gateway.openai.__init__,delbot_platform/gateway/openai/__init__.py,gateway,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.gateway.providers.__init__,delbot_platform/gateway/providers/__init__.py,gateway,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.gateway.providers.base,delbot_platform/gateway/providers/base.py,gateway,module,4,0,0,1,,1,KEEP,CANONICAL
delbot_platform.gateway.providers.factory,delbot_platform/gateway/providers/factory.py,gateway,factory,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.gateway.request,delbot_platform/gateway/request.py,gateway,module,9,0,0,1,,1,KEEP,CANONICAL
delbot_platform.gateway.router,delbot_platform/gateway/router.py,gateway,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.gateway.routers.__init__,delbot_platform/gateway/routers/__init__.py,gateway,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.gateway.routers.models,delbot_platform/gateway/routers/models.py,gateway,model,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.gateway.routers.v1.__init__,delbot_platform/gateway/routers/v1/__init__.py,gateway,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.gateway.services.__init__,delbot_platform/gateway/services/__init__.py,gateway,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.knowledge.__init__,delbot_platform/knowledge/__init__.py,knowledge,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.knowledge.citation.__init__,delbot_platform/knowledge/citation/__init__.py,knowledge,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.knowledge.citation.builder,delbot_platform/knowledge/citation/builder.py,knowledge,builder,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.knowledge.context.__init__,delbot_platform/knowledge/context/__init__.py,knowledge,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.knowledge.context.builder,delbot_platform/knowledge/context/builder.py,knowledge,builder,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.knowledge.extraction.__init__,delbot_platform/knowledge/extraction/__init__.py,knowledge,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.knowledge.extraction.extraction_config,delbot_platform/knowledge/extraction/extraction_config.py,knowledge,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.knowledge.extraction.extraction_result,delbot_platform/knowledge/extraction/extraction_result.py,knowledge,module,2,0,0,1,,1,KEEP,CANONICAL
delbot_platform.knowledge.extraction.knowledge_extractor,delbot_platform/knowledge/extraction/knowledge_extractor.py,knowledge,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.knowledge.graph.__init__,delbot_platform/knowledge/graph/__init__.py,knowledge,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.knowledge.graph.edge_builder,delbot_platform/knowledge/graph/edge_builder.py,knowledge,builder,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.knowledge.graph.graph_edge,delbot_platform/knowledge/graph/graph_edge.py,knowledge,module,3,0,0,1,,1,KEEP,CANONICAL
delbot_platform.knowledge.graph.graph_node,delbot_platform/knowledge/graph/graph_node.py,knowledge,module,3,0,0,1,,1,KEEP,CANONICAL
delbot_platform.knowledge.graph.knowledge_graph,delbot_platform/knowledge/graph/knowledge_graph.py,knowledge,module,2,0,0,1,,1,KEEP,CANONICAL
delbot_platform.knowledge.graph.node_builder,delbot_platform/knowledge/graph/node_builder.py,knowledge,builder,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.knowledge.hydration.__init__,delbot_platform/knowledge/hydration/__init__.py,knowledge,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.knowledge.hydration.base,delbot_platform/knowledge/hydration/base.py,knowledge,module,2,0,0,1,,1,KEEP,CANONICAL
delbot_platform.knowledge.models.__init__,delbot_platform/knowledge/models/__init__.py,knowledge,module,0,0,0,1,,1,KEEP,CANONICAL
